External URL, SKU, Name, Images, Sale price, Regular price, Categories, Type
"https://www.awin1.com/pclick.php?p=23222144087&a=525247&m=2832", "23222144087", "Swift Run Trainer White / White", "https://www.footasylum.com/images/products/medium/111318.jpg", "34.99", 69.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=23159660681&a=525247&m=2832", "23159660681", "Swift Trainer Olive / Black / White", "https://www.footasylum.com/images/products/medium/111321.jpg", "34.99", 69.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=23060520247&a=525247&m=2832", "23060520247", "NMD R2 Trainer Trace Khaki / Brown", "https://www.footasylum.com/images/products/medium/111342.jpg", "49.99", 109.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=22570683949&a=525247&m=2832", "22570683949", "I-5923 Boost Runner Trainer White / Blue / Gum", "https://www.footasylum.com/images/products/medium/111349.jpg", "44.99", 89.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=22997854795&a=525247&m=2832", "22997854795", "Tubular Doom Sock Primeknit Trainer Black / Grey", "https://www.footasylum.com/images/products/medium/111358.jpg", "59.99", 149.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=23213380455&a=525247&m=2832", "23213380455", "Tubular Shadow Trainer Grey / White", "https://www.footasylum.com/images/products/medium/111364.jpg", "39.99", 79.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=23189509113&a=525247&m=2832", "23189509113", "Tubular Shadow Trainer Vapour Grey", "https://www.footasylum.com/images/products/medium/111367.jpg", "39.99", 84.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=23270062455&a=525247&m=2832", "23270062455", "Tubular Shadow Trainer Grey / Grey", "https://www.footasylum.com/images/products/medium/111369.jpg", "39.99", 79.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=5171408771&a=525247&m=2832", "5171408771", "Condemned Nation Suede Curved Visor Cap Stone", "https://www.footasylum.com/images/products/medium/111444.jpg", "6.99", 24.99, "Men, Accessories", "external"
"https://www.awin1.com/pclick.php?p=22576380131&a=525247&m=2832", "22576380131", "Mitchell & Ness Box Logo Snapback Cap Olive", "https://www.footasylum.com/images/products/medium/111499.jpg", "12.99", 29.99, "Men, Accessories", "external"
"https://www.awin1.com/pclick.php?p=21573529653&a=525247&m=2832", "21573529653", "Mitchell & Ness Stance Curved Visor Cap Black", "https://www.footasylum.com/images/products/medium/111501.jpg", "7.99", 24.99, "Men, Accessories", "external"
